hierarchy_level,epic_key,epic_name,epic_status,epic_request_type,epic_idea_approval_date,epic_start_date,epic_due_date,epic_r4g_date,epic_created,epic_updated,epic_components,story_key,story_issue_type,story_summary,story_status,subtask_key,subtask_issue_type,subtask_summary,subtask_status,subtask_start_date,subtask_due_date
SUBTASK,HCM-140001,Epic Demo A - Hoàn thành Design,Design,Cải tiến,,2026-08-01,,,2026-08-01,2026-08-14,,HCM-140002,Story,US1: Demo hoàn thành Design,IN DEV,HCM-140003,BA,BA - Phân tích yêu cầu: Demo A,Done,2026-08-02,2026-08-03
SUBTASK,HCM-140001,Epic Demo A - Hoàn thành Design,Design,Cải tiến,,2026-08-01,,,2026-08-01,2026-08-14,,HCM-140002,Story,US1: Demo hoàn thành Design,IN DEV,HCM-140004,BA,BA - Đặc tả nghiệp vụ: Demo A,Done,2026-08-03,2026-08-04
SUBTASK,HCM-140010,Epic Demo B - Hoàn thành DEV,In Progress,Tính năng mới,,2026-07-20,2026-08-20,,2026-07-20,2026-08-14,,HCM-140011,Story,US1: Demo hoàn thành DEV,IN SIT,HCM-140012,BA,BA - Phân tích yêu cầu: Demo B,Done,2026-07-21,2026-07-22
SUBTASK,HCM-140010,Epic Demo B - Hoàn thành DEV,In Progress,Tính năng mới,,2026-07-20,2026-08-20,,2026-07-20,2026-08-14,,HCM-140011,Story,US1: Demo hoàn thành DEV,IN SIT,HCM-140013,BA,BA - Đặc tả nghiệp vụ: Demo B,Done,2026-07-22,2026-07-23
SUBTASK,HCM-140010,Epic Demo B - Hoàn thành DEV,In Progress,Tính năng mới,,2026-07-20,2026-08-20,,2026-07-20,2026-08-14,,HCM-140011,Story,US1: Demo hoàn thành DEV,IN SIT,HCM-140014,DEV,DEV - Code chức năng: Demo B,Done,2026-07-24,2026-07-28
SUBTASK,HCM-140010,Epic Demo B - Hoàn thành DEV,In Progress,Tính năng mới,,2026-07-20,2026-08-20,,2026-07-20,2026-08-14,,HCM-140011,Story,US1: Demo hoàn thành DEV,IN SIT,HCM-140015,DEV,DEV - Unit test: Demo B,Done,2026-07-28,2026-07-29
SUBTASK,HCM-140020,Epic Demo C - Hoàn thành TEST,In Progress,Tính năng mới,,2026-07-10,2026-08-15,,2026-07-10,2026-08-14,,HCM-140021,Story,US1: Demo hoàn thành TEST,UAT DONE,HCM-140022,BA,BA - Phân tích yêu cầu: Demo C,Done,2026-07-11,2026-07-12
SUBTASK,HCM-140020,Epic Demo C - Hoàn thành TEST,In Progress,Tính năng mới,,2026-07-10,2026-08-15,,2026-07-10,2026-08-14,,HCM-140021,Story,US1: Demo hoàn thành TEST,UAT DONE,HCM-140023,BA,BA - Đặc tả nghiệp vụ: Demo C,Done,2026-07-12,2026-07-13
SUBTASK,HCM-140020,Epic Demo C - Hoàn thành TEST,In Progress,Tính năng mới,,2026-07-10,2026-08-15,,2026-07-10,2026-08-14,,HCM-140021,Story,US1: Demo hoàn thành TEST,UAT DONE,HCM-140024,DEV,DEV - Code chức năng: Demo C,Done,2026-07-14,2026-07-18
SUBTASK,HCM-140020,Epic Demo C - Hoàn thành TEST,In Progress,Tính năng mới,,2026-07-10,2026-08-15,,2026-07-10,2026-08-14,,HCM-140021,Story,US1: Demo hoàn thành TEST,UAT DONE,HCM-140025,DEV,DEV - Unit test: Demo C,Done,2026-07-18,2026-07-19
SUBTASK,HCM-140020,Epic Demo C - Hoàn thành TEST,In Progress,Tính năng mới,,2026-07-10,2026-08-15,,2026-07-10,2026-08-14,,HCM-140021,Story,US1: Demo hoàn thành TEST,UAT DONE,HCM-140026,UAT,TEST - SIT: Demo C,Done,2026-07-20,2026-07-24
SUBTASK,HCM-140020,Epic Demo C - Hoàn thành TEST,In Progress,Tính năng mới,,2026-07-10,2026-08-15,,2026-07-10,2026-08-14,,HCM-140021,Story,US1: Demo hoàn thành TEST,UAT DONE,HCM-140027,UAT,TEST - UAT: Demo C,Done,2026-07-25,2026-07-29
