hierarchy_level,epic_key,epic_name,epic_request_type,epic_idea_approval_date,epic_start_date,epic_due_date,epic_r4g_date,epic_created,epic_updated,epic_components,story_key,story_issue_type,story_summary,story_status,subtask_key,subtask_issue_type,subtask_summary,subtask_status,subtask_start_date,subtask_due_date
SUBTASK,HCM-131481,abce,Cải tiến,,,,,2026-07-09,2026-07-09,,HCM-131482,Story,ddd,Cancelled,HCM-131483,Design,DEV -  viết TKCT: ddd,Cancelled,,
SUBTASK,HCM-131481,abce,Cải tiến,,,,,2026-07-09,2026-07-09,,HCM-131482,Story,ddd,Cancelled,HCM-131484,DEV,DEV - ddd,Cancelled,,
SUBTASK,HCM-131481,abce,Cải tiến,,,,,2026-07-09,2026-07-09,,HCM-131482,Story,ddd,Cancelled,HCM-131485,Sub-task,DEV unit test: ddd,Cancelled,,
SUBTASK,HCM-131481,abce,Cải tiến,,,,,2026-07-09,2026-07-09,,HCM-131482,Story,ddd,Cancelled,HCM-131486,Sub Test Execution,DEV - TC4D: ddd,Cancelled,,
SUBTASK,HCM-131481,abce,Cải tiến,,,,,2026-07-09,2026-07-09,,HCM-131482,Story,ddd,Cancelled,HCM-131487,Design,[CREATE TD] ddd,Cancelled,,
SUBTASK,HCM-131481,abce,Cải tiến,,,,,2026-07-09,2026-07-09,,HCM-131482,Story,ddd,Cancelled,HCM-131488,Review,[Review TD] ddd,Cancelled,,
SUBTASK,HCM-131481,abce,Cải tiến,,,,,2026-07-09,2026-07-09,,HCM-131482,Story,ddd,Cancelled,HCM-131489,Design,[CREATE TC] ddd,Cancelled,,
SUBTASK,HCM-131481,abce,Cải tiến,,,,,2026-07-09,2026-07-09,,HCM-131482,Story,ddd,Cancelled,HCM-131490,Sub Test Execution,[SIT]: ddd,Cancelled,,
SUBTASK,HCM-131481,abce,Cải tiến,,,,,2026-07-09,2026-07-09,,HCM-131482,Story,ddd,Cancelled,HCM-131491,Sub-task,[Checklist kiểm soát tác động] ddd,Cancelled,,
SUBTASK,HCM-131481,abce,Cải tiến,,,,,2026-07-09,2026-07-09,,HCM-131482,Story,ddd,Cancelled,HCM-131492,Sub Test Execution,[UAT] ddd,Cancelled,,
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131522,Story,US1: Cải tiến màn hình môn học,Released,HCM-131523,Design,DEV -  viết TKCT: Cải tiến màn hình môn học,Done,2026-07-16,2026-07-16
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131522,Story,US1: Cải tiến màn hình môn học,Released,HCM-131524,DEV,DEV- FE: Cải tiến màn hình môn học,Done,2026-07-17,2026-07-20
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131522,Story,US1: Cải tiến màn hình môn học,Released,HCM-131525,Sub-task,DEV unit test: US: Tính năng mới learning map version 2,Cancelled,,
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131522,Story,US1: Cải tiến màn hình môn học,Released,HCM-131526,Sub Test Execution,DEV - TC4D: US: Tính năng mới learning map version 2,Done,2026-07-23,2026-07-23
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131522,Story,US1: Cải tiến màn hình môn học,Released,HCM-131527,Design,[CREATE TD] US1: Cải tiến màn hình môn học,Done,2026-07-16,2026-07-17
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131522,Story,US1: Cải tiến màn hình môn học,Released,HCM-131528,Review,[TC_SIT] US1: Cải tiến màn hình môn học,Done,2026-07-20,2026-07-21
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131522,Story,US1: Cải tiến màn hình môn học,Released,HCM-131529,Design,[CREATE TC] US1: Cải tiến màn hình môn học,Done,2026-07-16,2026-07-17
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131522,Story,US1: Cải tiến màn hình môn học,Released,HCM-131530,Sub Test Execution,[SIT]: US1: Cải tiến màn hình môn học,Done,2026-07-23,2026-07-28
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131522,Story,US1: Cải tiến màn hình môn học,Released,HCM-131531,KSTĐ,[Checklist kiểm soát tác động] US1: Cải tiến màn hình môn học,Done,,
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131522,Story,US1: Cải tiến màn hình môn học,Released,HCM-131532,Sub Test Execution,[UAT] US: Tính năng mới learning map version 2,Cancelled,,
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131564,Story,US2: Cải tiến tab bản đồ học tập,Released,HCM-131565,Design, TKCT: Cải tiến tab bản đồ học tập,Done,2026-07-17,2026-07-20
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131564,Story,US2: Cải tiến tab bản đồ học tập,Released,HCM-131566,DEV,Cải tiến tab bản đồ học tập,Done,2026-07-20,2026-07-20
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131564,Story,US2: Cải tiến tab bản đồ học tập,Released,HCM-131567,Sub-task,DEV unit test: US2: Cải tiến tab bản đồ học tập + Đào tạo AMT,Done,2026-07-21,2026-07-21
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131564,Story,US2: Cải tiến tab bản đồ học tập,Released,HCM-131568,Sub Test Execution,DEV - TC4D: US2: Cải tiến tab bản đồ học tại,Done,2026-07-20,2026-07-21
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131564,Story,US2: Cải tiến tab bản đồ học tập,Released,HCM-131569,Design,[CREATE TD] US2: Cải tiến tab bản đồ học tại,Done,2026-07-16,2026-07-16
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131564,Story,US2: Cải tiến tab bản đồ học tập,Released,HCM-131570,Review,[TC_SIT] US2: Cải tiến tab bản đồ học tại,Done,2026-07-20,2026-07-20
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131564,Story,US2: Cải tiến tab bản đồ học tập,Released,HCM-131571,Design,[CREATE TC] US2: Cải tiến tab bản đồ học tại,Done,2026-07-16,2026-07-16
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131564,Story,US2: Cải tiến tab bản đồ học tập,Released,HCM-131572,Sub Test Execution,[SIT]: US2: Cải tiến tab bản đồ học tại,Done,2026-07-21,2026-07-23
